No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3	
67  	2-Propanol, 1,1'-[(1-methyl-1,2-ethanediyl)bis(oxy)]bis-	39,53	6389,55	2,96	0,02	767	785	43,92	Propanol, [(butoxymethylethoxy)methylethoxy]-	2-Propanol, 1-[2-(2-methoxy-1-methylethoxy)-1-methylethoxy]-
68  	2-Propanol, 1,1'-[(1-methyl-1,2-ethanediyl)bis(oxy)]bis-	39,62	35440,44	16,40	0,12	859	868	61,62	2-Propanol, 1-[2-(2-methoxy-1-methylethoxy)-1-methylethoxy]-	4,8,12,16-tetraoxaeicosan-1-ol
69  	2-Propanol, 1,1'-[(1-methyl-1,2-ethanediyl)bis(oxy)]bis-	39,70	48042,63	22,23	0,17	828	870	63,42	2-Propanol, 1-[1-methyl-2-(2-propenyloxy)ethoxy]-	2-Propanol, 1-[2-(2-methoxy-1-methylethoxy)-1-methylethoxy]-
70  	Hexadecane	39,79	63352,06	29,32	0,22	853	894	16,06	Pentadecane	Tetradecane
71  	1-Dodecanol, 2-octyl-	40,43	8930,34	4,13	0,03	718	780	6,68	1-Octanol, 2-butyl-	Eicosane
72  	6-Pentadecanone	40,86	18417,80	8,52	0,06	692	831	45,02	10-Nonadecanone	6-Tridecanone
73  	Melezitose	40,91	8685,70	4,02	0,03	626	691	6,27	Octadecane, 3-ethyl-5-(2-ethylbutyl)-	Oxirane, [(hexadecyloxy)methyl]-
74  	Eicosane	41,20	37176,23	17,20	0,13	757	841	8,38	Hexadecane	Heptadecane
75  	1-Tetradecanamine, N,N-dimethyl-	41,27	59789,05	27,67	0,21	891	907	57,22	3(N,N-Dimethylmyristylammonio)propanesulfonate	1-Tridecanamine, N,N-dimethyl-
76  	1,3-Dimethyl-4,8-dioxatricyclo[5.1.0.0(3,5)]octane-2,6-diol	41,35	6360,69	2,94	0,02	533	647	5,83	Hexadecane, 1-chloro-	Tetradecane, 1-chloro-
77  	Nonadecane, 2-methyl-	41,79	14142,13	6,54	0,05	719	832	4,50	Hexadecane	Pentadecane
78  	3,5-di-tert-Butyl-4-hydroxybenzaldehyde	42,16	17739,16	8,21	0,06	769	832	72,49	2,3,5,6-Detetrahydrocyclohexanone, 2,6-di-t-butyl-4-hydroxymethylene-	Phenol, 2,6-bis(1,1-dimethylethyl)-4-ethyl-
79  	Hexadecane	42,45	14587,62	6,75	0,05	831	861	7,90	Eicosane	Pentadecane
80  	Isopropyl myristate	42,70	12363,56	5,72	0,04	742	841	49,48	Tetradecanoic acid	Tetradecanoic acid, propyl ester
81  	Methanone, [2-(1-methylethyl)phenyl]phenyl-	43,08	14641,24	6,77	0,05	629	662	18,55	5,6,11,12-Tetrahydrodibenz(b,f)azocine	1,5,6,7-Tetramethyl-3-phenylbicyclo[3.2.0]hepta-2,6-diene
82  	Dibutyl phthalate	43,24	27477,73	12,71	0,10	859	885	36,28	1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester	1,2-Benzenedicarboxylic acid, butyl octyl ester
83  	7-Pentadecanone	43,33	16396,22	7,59	0,06	657	792	15,21	7-Heptadecanone	9-Heptadecanone
84  	Heptadecane	43,59	15276,83	7,07	0,05	772	818	7,95	Hexadecane	Pentadecane
85  	1-Tetradecanamine, N,N-dimethyl-	43,66	104421,79	48,32	0,37	878	897	29,66	Dimethyl palmitamine	1-Tridecanamine, N,N-dimethyl-
86  	Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, methyl ester	44,01	19797,07	9,16	0,07	709	753	91,87	Butylated Hydroxytoluene, TMS derivative	Androstane-3,17-diol, (3a,5a,17ß)-
87  	Dibutyl phthalate	44,28	8864,02	4,10	0,03	678	908	28,58	1,2-Benzenedicarboxylic acid, butyl 2-ethylhexyl ester	1,2-Benzenedicarboxylic acid, butyl octyl ester
88  	7-Octadecanone	44,41	19106,91	8,84	0,07	722	846	27,72	7-Pentadecanone	9-Octadecanone
89  	4-Amino-4'-methoxystilbene	44,51	10617,80	4,91	0,04	611	671	24,71	benzenamine, N-ethyl-4-methyl-N-(4-methylphenyl)-	9(10H)-Acridinone, 4-methoxy-
90  	Eicosane	44,63	22059,90	10,21	0,08	814	862	10,95	Octadecane, 2-methyl-	Nonadecane, 2-methyl-
91  	Eicosane	45,63	19306,60	8,93	0,07	797	865	18,92	Heneicosane	Octadecane, 2-methyl-
92  	Stearyltrimethylammonium chloride	45,71	34719,10	16,07	0,12	799	841	20,22	1-Tetradecanamine, N,N-dimethyl-	1-Heptadecanamine, N,N-dimethyl-
93  	Nonadecane, 9-methyl-	46,01	23643,35	10,94	0,08	748	837	10,09	Eicosane	Eicosane, 10-methyl-
94  	Squalene	57,40	160895,63	74,45	0,56	842	876	58,25	1,6,10,14,18,22-Tetracosahexaen-3-ol, 2,6,10,15,19,23-hexamethyl-, (all-E)-(±)-	Supraene
