No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3
74  	6-Pentadecanone	40,85	19,34	13,82	0,08	607	776	8,66	2,5-Cyclohexadiene-1,4-dione, 2,5-bis(1,1-dimethylpropyl)-	6-Tridecanone
76  	Hexadecane	41,20	27,59	19,89	0,12	777	828	8,94	Eicosane	Heptadecane
77  	1-Tetradecanamine, N,N-dimethyl-	41,26	41,49	30,11	0,18	870	889	58,18	3(N,N-Dimethylmyristylammonio)propanesulfonate	Stearyltrimethylammonium chloride
79  	1,3,6,10-Cyclotetradecatetraene, 3,7,11-trimethyl-14-(1-methylethyl)-, [S-(E,Z,E,E)]-	42,19	20,31	14,54	0,09	725	758	36,66	(4aS,4bR,10aS)-7-Isopropyl-1,1,4a-trimethyl-1,2,3,4,4a,4b,5,6,10,10a-decahydrophenanthrene	Andrographolide
81  	Hexadecane	42,45	12,30	8,64	0,05	828	876	11,26	Eicosane	Pentadecane
83  	1,3,6,10-Cyclotetradecatetraene, 3,7,11-trimethyl-14-(1-methylethyl)-, [S-(E,Z,E,E)]-	42,91	21,79	15,63	0,09	718	736	32,70	Andrographolide	geranyl-a-terpinene
84  	benzene, 1,1'-(1-methylethylidene)bis[4-methyl-	43,07	11,30	7,91	0,05	629	734	16,55	Methanone, [2-(1-methylethyl)phenyl]phenyl-	5,6,11,12-Tetrahydrodibenz(b,f)azocine
85  	Dibutyl phthalate	43,24	123,42	90,37	0,54	894	920	44,92	1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester	1,2-Benzenedicarboxylic acid, butyl octyl ester
86  	7-Heptadecanone	43,32	19,77	14,14	0,08	640	796	10,44	8-Octadecanone	9-Heptadecanone
87  	Hexadecane	43,58	14,96	10,60	0,06	723	802	5,87	Octadecane, 2-methyl-	Tetradecane, 2,6,10-trimethyl-
88  	1-Tetradecanamine, N,N-dimethyl-	43,65	63,14	46,04	0,27	880	906	31,12	Dimethyl palmitamine	1-Tridecanamine, N,N-dimethyl-
89  	1,3,6,10-Cyclotetradecatetraene, 3,7,11-trimethyl-14-(1-methylethyl)-, [S-(E,Z,E,E)]-	43,89	10,82	7,56	0,05	701	741	10,05	a-ylangene	cis-Thujopsene
90  	Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, methyl ester	44,01	12,99	9,16	0,05	713	772	90,39	Butylated Hydroxytoluene, TMS derivative	2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline
92  	7-Octadecanone	44,41	12,21	8,58	0,05	645	845	14,61	7-Pentadecanone	Octadecane, 3-ethyl-5-(2-ethylbutyl)-
93  	Hexadecane	44,63	13,40	9,45	0,06	800	860	9,67	Heptadecane	Pentadecane
94  	Eicosane	45,62	12,64	8,89	0,05	795	856	9,00	Hexadecane	Heptadecane
95  	Stearyltrimethylammonium chloride	45,71	17,32	12,34	0,07	770	833	13,16	1-Heptadecanamine, N,N-dimethyl-	Dimethyl palmitamine
96  	Eicosane	46,00	14,68	10,40	0,06	743	860	14,03	Eicosane, 10-methyl-	Nonadecane, 9-methyl-
97  	Squalene	57,38	70,41	51,38	0,31	825	863	53,21	1,6,10,14,18,22-Tetracosahexaen-3-ol, 2,6,10,15,19,23-hexamethyl-, (all-E)-(±)-	(2E,6E,10E)-3,7,11,15-Tetramethylhexadeca-2,6,10,14-tetraen-1-yl formate

