File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_2_1101
Injection Number	2
Position	112
Comment	3M DP6330 -- 7 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/2/2026
Injection Time	2:37:40 PM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000705
Time Max. (min)	60.006783
Data Points	16762
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	505,933.884412
Signal Max.	1,974,547,537.296650
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406686

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
4.439377	0.2041	1,099,756.759489
4.442777	0.204	1,065,717.278489
4.446178	0.2041	1,047,218.432226
4.449580	0.2041	1,065,487.376733
4.452980	0.204	1,050,570.220516
4.456382	0.2041	1,053,422.952300
4.459783	0.2041	1,067,049.632752
4.463183	0.204	1,051,787.039213
4.466585	0.2041	1,079,495.579883
4.469987	0.2041	1,110,816.329465
4.473387	0.204	1,103,347.570514
4.476788	0.2041	1,118,163.463818
4.480190	0.2041	1,087,000.382035
4.483590	0.204	1,069,968.804158
4.486992	0.2041	1,089,384.168097
4.490393	0.2041	1,097,396.580587
4.493793	0.204	1,128,057.605576
4.497195	0.2041	1,076,432.845964
4.500597	0.2041	1,096,985.768090
4.503997	0.204	1,169,197.177743
4.507398	0.2041	1,119,865.621151
4.510800	0.2041	1,127,333.966951
4.514200	0.204	1,217,202.392829
4.517602	0.2041	1,262,189.451000
4.521003	0.2041	1,267,630.104016
4.524403	0.204	1,227,278.176256
4.527805	0.2041	1,189,779.412143
4.531207	0.2041	1,266,411.742041
4.534607	0.204	1,306,097.585101
4.538008	0.2041	1,298,193.255005
4.541410	0.2041	1,312,614.628687
4.544810	0.204	1,306,036.538327
