File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_2_9717
Injection Number	20
Position	130
Comment	Betaforce 9075L -- 7 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/3/2026
Injection Time	10:16:03 AM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000510
Time Max. (min)	59.999785
Data Points	16760
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	413,974.755598
Signal Max.	6,996,324,128.399330
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406686

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
4.684062	0.2041	1,628,319.846579
4.687463	0.2041	1,699,426.046916
4.690863	0.204	1,660,510.371553
4.694265	0.2041	1,609,769.680269
4.697667	0.2041	1,714,486.393577
4.701067	0.204	1,752,363.956926
4.704468	0.2041	1,721,388.785011
4.707870	0.2041	1,729,703.647763
4.711270	0.204	1,717,519.706644
4.714672	0.2041	1,706,458.174122
4.718073	0.2041	1,624,403.536364
4.721473	0.204	1,481,432.234685
4.724875	0.2041	1,362,022.982724
4.728277	0.2041	1,237,271.070102
4.731677	0.204	1,245,407.110223
4.735078	0.2041	1,271,082.050062
4.738480	0.2041	1,223,400.544709
4.741880	0.204	1,251,672.198512
4.745282	0.2041	1,289,538.260256
4.748683	0.2041	1,298,177.325452
4.752083	0.204	1,302,802.525734
4.755485	0.2041	1,365,628.780947
4.758887	0.2041	1,400,430.817963
4.762287	0.204	1,418,133.557726
4.765688	0.2041	1,541,440.184520
4.769090	0.2041	1,620,002.553128
4.772490	0.204	1,610,294.772499
4.775892	0.2041	1,656,430.555780
4.779293	0.2041	1,701,279.206837
4.782693	0.204	1,693,035.072490
4.786095	0.2041	1,728,847.875671
4.789497	0.2041	1,700,522.757113
4.792897	0.204	1,655,508.909593
4.796298	0.2041	1,620,266.310539
4.799700	0.2041	1,616,459.275674
4.803100	0.204	1,660,160.187365
4.806502	0.2041	1,640,041.722309
4.809903	0.2041	1,588,318.886188
4.813303	0.204	1,502,685.782444
4.816705	0.2041	1,538,000.048477
4.820107	0.2041	1,563,318.690382
4.823507	0.204	1,517,289.787224
4.826908	0.2041	1,477,403.882526
4.830310	0.2041	1,407,608.502912
4.833710	0.204	1,375,819.526775
4.837112	0.2041	1,313,741.808931
4.840513	0.2041	1,286,458.251904
4.843913	0.204	1,309,004.102638
4.847315	0.2041	1,329,478.618011
4.850717	0.2041	1,309,385.687242
4.854117	0.204	1,270,635.145602
4.857518	0.2041	1,270,503.344235
4.860920	0.2041	1,296,318.479178
4.864320	0.204	1,294,723.114896
4.867722	0.2041	1,251,183.162680
4.871123	0.2041	1,275,388.349035
4.874523	0.204	1,321,728.800767
4.877925	0.2041	1,308,519.362368
4.881327	0.2041	1,273,084.108110
4.884727	0.204	1,283,579.673033
4.888128	0.2041	1,273,190.646248
4.891530	0.2041	1,261,430.196389
4.894930	0.204	1,325,702.601528
4.898332	0.2041	1,265,638.857102
4.901733	0.2041	1,199,906.701495
4.905133	0.204	1,242,148.727577
4.908535	0.2041	1,228,612.907439
4.911937	0.2041	1,220,638.850511
4.915337	0.204	1,243,607.797243
4.918738	0.2041	1,224,454.066832
4.922140	0.2041	1,218,220.805229
4.925540	0.204	1,246,078.045503
4.928942	0.2041	1,220,902.725455
4.932343	0.2041	1,162,453.753525
4.935743	0.204	1,148,659.566529
4.939145	0.2041	1,158,927.142780
4.942547	0.2041	1,141,216.162604
4.945947	0.204	1,132,183.534767
4.949348	0.2041	1,169,864.713310
4.952750	0.2041	1,141,950.266343
4.956150	0.204	1,170,221.959596
4.959552	0.2041	1,252,027.090867
4.962953	0.2041	1,191,369.117626
4.966353	0.204	1,142,420.000028
4.969755	0.2041	1,168,562.085851
4.973157	0.2041	1,168,681.434998
4.976557	0.204	1,165,252.352913
4.979958	0.2041	1,166,744.226026
4.983360	0.2041	1,137,558.530421
4.986760	0.204	1,155,023.604831
4.990162	0.2041	1,222,306.255634
4.993563	0.2041	1,225,310.704919
4.996963	0.204	1,231,033.929471
5.000365	0.2041	1,316,226.286601
5.003767	0.2041	1,396,740.650922
5.007167	0.204	1,365,441.973626
5.010568	0.2041	1,330,396.718668
5.013970	0.2041	1,368,378.134861
5.017370	0.204	1,392,781.003913
5.020772	0.2041	1,444,195.247583
5.024173	0.2041	1,467,909.349318
5.027573	0.204	1,421,536.174615
5.030975	0.2041	1,387,734.796211
5.034377	0.2041	1,399,380.147303
5.037777	0.204	1,379,802.476959
5.041178	0.2041	1,266,393.001080
5.044580	0.2041	1,264,399.726266
5.047980	0.204	1,333,210.455703
5.051382	0.2041	1,290,096.570139
5.054783	0.2041	1,241,631.910402
5.058183	0.204	1,217,069.093418
5.061585	0.2041	1,210,919.843257
5.064987	0.2041	1,214,627.472380
5.068387	0.204	1,203,629.434712
5.071788	0.2041	1,171,030.359964
5.075190	0.2041	1,154,558.357459
5.078590	0.204	1,158,663.787490
5.081992	0.2041	1,169,664.571367
5.085393	0.2041	1,138,007.525478
5.088793	0.204	1,160,418.624713
5.092195	0.2041	1,211,487.620732
5.095597	0.2041	1,184,082.559168
5.098997	0.204	1,157,000.368069
5.102398	0.2041	1,182,714.444031
5.105800	0.2041	1,232,008.658696
5.109200	0.204	1,246,183.586330
5.112602	0.2041	1,270,642.655090
5.116003	0.2041	1,239,592.963415
5.119403	0.204	1,175,491.181748
5.122805	0.2041	1,233,255.785972
5.126207	0.2041	1,268,398.486814
5.129607	0.204	1,179,947.873183
5.133008	0.2041	1,141,973.827690
5.136410	0.2041	1,204,128.481581
5.139810	0.204	1,216,822.553866
5.143212	0.2041	1,221,451.722900
5.146613	0.2041	1,232,950.192708
5.150013	0.204	1,202,993.272696
5.153415	0.2041	1,166,021.714727
5.156817	0.2041	1,182,171.383499
5.160217	0.204	1,215,549.871977
5.163618	0.2041	1,196,147.656628
5.167020	0.2041	1,164,903.688859
5.170420	0.204	1,134,169.300940
5.173822	0.2041	1,167,484.971136
5.177223	0.2041	1,196,522.435030
5.180623	0.204	1,202,890.523419
5.184025	0.2041	1,296,952.627956
5.187427	0.2041	1,420,079.091149
5.190827	0.204	1,558,064.377489
5.194228	0.2041	1,693,013.745062
5.197630	0.2041	1,869,876.711388
5.201030	0.204	2,219,989.243286
5.204432	0.2041	2,546,815.437259
5.207833	0.2041	2,775,142.285284
5.211235	0.2041	3,031,473.231297
5.214635	0.204	3,249,752.760414
5.218037	0.2041	3,495,433.119920
5.221438	0.2041	3,781,484.678727
5.224838	0.204	4,090,150.644406
5.228240	0.2041	4,508,528.029033
5.231642	0.2041	5,003,612.759290
5.235042	0.204	5,480,683.125164
5.238443	0.2041	5,938,547.828196
5.241845	0.2041	6,404,657.172836
5.245245	0.204	6,729,871.059637
5.248647	0.2041	6,769,265.877683
5.252048	0.2041	6,666,045.760859
5.255448	0.204	6,469,078.153378
5.258850	0.2041	5,913,800.544808
5.262252	0.2041	5,394,017.847526
5.265652	0.204	5,153,734.588293
5.269053	0.2041	4,820,162.448764
5.272455	0.2041	4,503,806.413993
5.275855	0.204	4,152,913.211270
5.279257	0.2041	3,866,776.359164
5.282658	0.2041	3,620,898.828474
5.286058	0.204	3,306,601.580709
5.289460	0.2041	3,134,692.525798
5.292862	0.2041	2,808,608.970173
5.296262	0.204	2,536,769.301946
5.299663	0.2041	2,377,573.812084
5.303065	0.2041	2,177,270.218088
5.306465	0.204	2,086,970.163770
5.309867	0.2041	1,927,684.680032
5.313268	0.2041	1,695,944.805278
5.316668	0.204	1,548,024.698468
5.320070	0.2041	1,487,454.947047
5.323472	0.2041	1,457,402.806254
