File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_17_9738
Injection Number	38
Position	148
Comment	3M PN7444 -- 28 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/17/2026
Injection Time	9:00:48 PM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.002335
Time Max. (min)	60.001645
Data Points	16760
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	2,353,989.479998
Signal Max.	5,350,993,072.447250
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406698

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
4.277753	0.2041	3,135,602.191118
4.281155	0.2041	3,443,585.401441
4.284555	0.204	3,686,558.213245
4.287957	0.2041	4,071,001.075112
4.291358	0.2041	4,262,440.791604
4.294758	0.204	4,336,270.284764
4.298160	0.2041	4,785,012.632186
4.301562	0.2041	5,131,858.087853
4.304962	0.204	5,299,958.958875
4.308363	0.2041	5,563,474.565949
4.311765	0.2041	5,701,856.669667
4.315165	0.204	5,609,943.415243
4.318567	0.2041	5,557,134.694785
4.321968	0.2041	5,540,388.201875
4.325368	0.204	5,654,561.125135
4.328770	0.2041	5,731,609.026997
4.332172	0.2041	5,635,730.998322
4.335572	0.204	5,600,470.868648
4.338973	0.2041	5,467,828.564514
4.342375	0.2041	5,355,608.878102
4.345775	0.204	5,073,186.754696
4.349177	0.2041	4,812,568.501556
4.352578	0.2041	4,814,324.802459
4.355978	0.204	4,561,487.058669
4.359380	0.2041	4,384,687.890258
4.362782	0.2041	4,353,569.422718
4.366182	0.204	4,154,496.271072
4.369583	0.2041	4,046,316.135281
4.372985	0.2041	3,996,359.734358
4.376385	0.204	3,868,829.237860
4.379787	0.2041	3,790,435.638986
4.383188	0.2041	3,855,022.535974
4.386588	0.204	3,985,662.503026
4.389990	0.2041	3,912,032.176262
4.393392	0.2041	3,930,257.551289
4.396792	0.204	3,980,603.801704
4.400193	0.2041	3,851,317.666050
4.403595	0.2041	4,151,065.220473
4.406995	0.204	4,257,257.964676
4.410397	0.2041	4,045,431.578890
4.413798	0.2041	4,129,848.581027
4.417198	0.204	3,959,082.880802
4.420600	0.2041	3,929,857.129603
4.424002	0.2041	4,158,474.283886
4.427403	0.2041	4,065,608.040768
4.430803	0.204	3,939,239.999955
4.434205	0.2041	3,972,537.898774
4.437607	0.2041	4,123,803.455802
4.441007	0.204	4,231,948.587425
4.444408	0.2041	4,222,091.063692
4.447810	0.2041	4,182,375.642712
4.451210	0.204	4,307,620.953037
4.454612	0.2041	4,363,421.722168
4.458013	0.2041	4,220,737.755374
4.461413	0.204	4,256,400.548123
4.464815	0.2041	4,349,262.862231
4.468217	0.2041	4,373,772.901982
4.471617	0.204	4,469,254.849385
4.475018	0.2041	4,522,744.620803
4.478420	0.2041	4,535,509.179447
4.481820	0.204	4,550,529.995871
4.485222	0.2041	4,736,451.310601
4.488623	0.2041	4,809,005.054814
4.492023	0.204	4,694,426.280489
4.495425	0.2041	4,818,885.954379
4.498827	0.2041	4,873,959.833793
4.502227	0.204	5,007,093.656131
4.505628	0.2041	5,179,788.606993
4.509030	0.2041	4,998,884.730629
4.512430	0.204	4,920,579.388371
4.515832	0.2041	5,065,268.543554
4.519233	0.2041	5,227,469.395106
4.522633	0.204	5,298,392.404813
4.526035	0.2041	5,242,677.239836
4.529437	0.2041	5,354,856.127308
4.532837	0.204	5,523,536.215153
4.536238	0.2041	5,546,414.104737
4.539640	0.2041	5,473,875.228949
4.543040	0.204	5,394,179.131963
4.546442	0.2041	5,561,301.949385
4.549843	0.2041	5,590,626.507239
4.553243	0.204	5,617,486.979071
4.556645	0.2041	5,853,516.681392
4.560047	0.2041	5,602,075.805781
4.563447	0.204	5,422,168.957354
4.566848	0.2041	5,693,424.606068
4.570250	0.2041	5,597,917.779215
4.573650	0.204	5,315,216.046842
4.577052	0.2041	5,372,497.136428
4.580453	0.2041	5,328,533.254809
4.583853	0.204	5,285,971.765077
4.587255	0.2041	5,396,226.717293
4.590657	0.2041	5,215,390.166142
4.594057	0.204	5,151,425.008674
4.597458	0.2041	5,262,045.557585
4.600860	0.2041	5,196,749.780429
4.604260	0.204	5,194,780.486005
4.607662	0.2041	5,285,700.875106
4.611063	0.2041	5,331,483.123180
4.614463	0.204	5,346,339.811311
4.617865	0.2041	5,489,441.381333
4.621267	0.2041	5,595,732.734367
4.624667	0.204	5,617,091.009307
4.628068	0.2041	5,776,128.138302
4.631470	0.2041	5,691,711.151825
4.634870	0.204	5,775,686.951114
4.638272	0.2041	6,098,388.133482
4.641673	0.2041	6,065,059.628309
4.645073	0.204	6,110,101.876615
4.648475	0.2041	6,033,302.774675
4.651877	0.2041	5,754,126.239662
4.655277	0.204	5,728,191.568745
4.658678	0.2041	5,743,473.190162
4.662080	0.2041	5,696,003.616775
4.665480	0.204	5,658,011.694289
4.668882	0.2041	5,650,563.192320
4.672283	0.2041	5,656,347.861254
4.675683	0.204	5,554,199.723453
4.679085	0.2041	5,504,008.933357
4.682487	0.2041	5,483,374.232355
4.685887	0.204	5,361,089.713771
4.689288	0.2041	5,383,254.611814
4.692690	0.2041	5,436,945.465411
4.696090	0.204	5,342,616.800129
4.699492	0.2041	5,306,269.464333
4.702893	0.2041	5,262,944.724923
4.706293	0.204	5,241,976.356172
4.709695	0.2041	5,343,945.157774
4.713097	0.2041	5,296,988.355078
4.716497	0.204	5,109,472.526598
4.719898	0.2041	5,156,584.183169
4.723300	0.2041	5,192,416.021800
4.726700	0.204	5,209,373.434372
4.730102	0.2041	5,344,332.682324
4.733503	0.2041	5,286,869.369303
4.736903	0.204	5,416,026.368072
4.740305	0.2041	5,583,320.275401
4.743707	0.2041	5,644,734.748795
4.747107	0.204	5,646,793.901669
4.750508	0.2041	5,521,751.664801
4.753910	0.2041	5,573,899.856672
4.757310	0.204	5,589,861.080227
4.760712	0.2041	5,683,293.122734
4.764113	0.2041	5,756,480.773333
4.767513	0.204	5,601,683.755792
4.770915	0.2041	5,615,736.424360
4.774317	0.2041	5,828,025.957598
4.777717	0.204	5,802,358.133341
4.781118	0.2041	5,563,875.603994
4.784520	0.2041	5,569,034.895587
4.787922	0.2041	5,654,944.240635
4.791322	0.204	5,638,750.641815
4.794723	0.2041	5,357,819.029337
4.798125	0.2041	5,044,100.641361
4.801525	0.204	5,169,685.592261
4.804927	0.2041	5,105,697.223218
4.808328	0.2041	4,948,393.804112
4.811728	0.204	4,954,055.466549
4.815130	0.2041	4,980,925.242567
4.818532	0.2041	5,160,194.243647
4.821932	0.204	5,159,185.653387
4.825333	0.2041	4,913,843.055307
4.828735	0.2041	4,800,076.881383
4.832135	0.204	5,118,021.664383
4.835537	0.2041	5,213,307.199144
4.838938	0.2041	5,115,256.243122
4.842338	0.204	5,263,799.228218
4.845740	0.2041	5,203,087.726001
4.849142	0.2041	5,074,617.660505
4.852542	0.204	5,065,787.179126
4.855943	0.2041	5,211,478.482904
4.859345	0.2041	5,215,223.954947
4.862745	0.204	5,002,156.165034
4.866147	0.2041	5,030,512.703853
4.869548	0.2041	5,134,976.390833
4.872948	0.204	5,025,415.604448
4.876350	0.2041	4,948,731.949945
4.879752	0.2041	4,932,065.173121
4.883152	0.204	4,971,738.874785
4.886553	0.2041	5,059,015.830243
4.889955	0.2041	5,116,040.490578
4.893355	0.204	5,144,291.990676
4.896757	0.2041	5,068,378.783571
4.900158	0.2041	4,996,281.733620
4.903558	0.204	4,867,323.327570
4.906960	0.2041	4,885,058.400470
4.910362	0.2041	4,991,644.076616
4.913762	0.204	4,917,635.141664
