File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_17_1129
Injection Number	35
Position	145
Comment	3M DP6330 -- 28 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/17/2026
Injection Time	5:42:10 PM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000520
Time Max. (min)	59.996430
Data Points	16759
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,702,656.518569
Signal Max.	6,296,826,717.134330
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406699

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
4.214718	0.2041	1,807,233.023542
4.218118	0.204	1,880,814.159240
4.221520	0.2041	1,802,625.994625
4.224922	0.2041	1,741,176.061736
4.228322	0.204	1,792,859.818381
4.231723	0.2041	1,790,132.009710
4.235125	0.2041	1,852,253.672609
4.238527	0.2041	1,807,350.546342
4.241927	0.204	1,702,656.518569
4.245328	0.2041	1,823,763.905450
4.248730	0.2041	1,844,676.937247
4.252130	0.204	1,812,761.620485
4.255532	0.2041	1,959,217.491594
4.258933	0.2041	1,960,627.789028
4.262333	0.204	1,941,908.133199
4.265735	0.2041	2,093,167.540644
4.269137	0.2041	2,095,103.231610
4.272537	0.204	2,142,649.022983
4.275938	0.2041	2,418,803.967093
4.279340	0.2041	2,575,213.548121
4.282740	0.204	2,764,656.422204
4.286142	0.2041	2,899,049.819916
4.289543	0.2041	3,034,413.206561
4.292943	0.204	3,452,086.498064
4.296345	0.2041	3,773,048.599252
4.299747	0.2041	4,081,268.359612
4.303147	0.204	4,321,438.583734
4.306548	0.2041	4,467,651.483640
4.309950	0.2041	4,661,150.274828
4.313350	0.204	4,788,843.638884
4.316752	0.2041	4,702,781.688933
4.320153	0.2041	4,514,730.703944
4.323553	0.204	4,484,746.477768
4.326955	0.2041	4,570,026.135090
4.330357	0.2041	4,706,797.879188
4.333757	0.204	4,696,304.164966
4.337158	0.2041	4,549,278.282179
