File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_17_1104
Injection Number	47
Position	157
Comment	Lord 8525 -- 28 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/18/2026
Injection Time	6:54:54 AM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000687
Time Max. (min)	59.999998
Data Points	16760
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,938,960.296366
Signal Max.	12,298,880,864.641700
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406699

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.697917	0.2041	2,475,682.722312
3.701317	0.204	2,452,864.800651
3.704718	0.2041	2,562,604.932130
3.708120	0.2041	2,577,353.733252
3.711520	0.204	2,554,283.743700
3.714922	0.2041	2,563,412.697560
3.718323	0.2041	2,522,096.967467
3.721723	0.204	2,479,700.643649
3.725125	0.2041	2,476,912.048303
3.728527	0.2041	2,415,661.996422
3.731927	0.204	2,493,335.284387
3.735328	0.2041	2,584,875.028112
3.738730	0.2041	2,554,265.607229
3.742130	0.204	2,524,099.199575
3.745532	0.2041	2,517,261.683512
3.748933	0.2041	2,557,906.048859
3.752335	0.2041	2,550,106.832454
3.755735	0.204	2,478,343.469574
3.759137	0.2041	2,539,501.032508
3.762538	0.2041	2,665,497.986288
3.765938	0.204	2,547,986.066268
3.769340	0.2041	2,485,708.516648
3.772742	0.2041	2,579,675.309276
3.776142	0.204	2,525,123.198348
3.779543	0.2041	2,519,501.838984
3.782945	0.2041	2,565,372.531562
3.786345	0.204	2,561,764.806284
3.789747	0.2041	2,564,639.846756
3.793148	0.2041	2,483,984.961620
3.796548	0.204	2,440,358.657281
3.799950	0.2041	2,509,286.294384
3.803352	0.2041	2,617,580.024971
3.806752	0.204	2,575,312.572394
3.810153	0.2041	2,517,016.640483
3.813555	0.2041	2,565,463.941833
3.816955	0.204	2,469,076.816896
3.820357	0.2041	2,442,805.388970
3.823758	0.2041	2,523,069.713941
3.827158	0.204	2,517,062.844480
3.830560	0.2041	2,527,951.105711
3.833962	0.2041	2,547,406.060386
3.837362	0.204	2,567,000.999941
3.840763	0.2041	2,563,161.217141
3.844165	0.2041	2,487,875.723876
3.847565	0.204	2,507,079.921136
3.850967	0.2041	2,538,615.275460
3.854368	0.2041	2,533,928.534321
3.857768	0.204	2,570,131.198176
3.861170	0.2041	2,459,924.184146
3.864572	0.2041	2,430,193.035415
3.867972	0.204	2,513,797.533032
3.871373	0.2041	2,504,403.767494
3.874775	0.2041	2,569,594.436350
3.878175	0.204	2,511,681.747960
3.881577	0.2041	2,432,874.943421
3.884978	0.2041	2,596,623.934520
3.888378	0.204	2,622,826.567126
3.891780	0.2041	2,488,375.531463
3.895182	0.2041	2,417,601.184062
3.898582	0.204	2,416,982.219540
3.901983	0.2041	2,436,190.451965
3.905385	0.2041	2,485,161.941917
3.908785	0.204	2,467,165.036343
3.912187	0.2041	2,478,406.131765
3.915588	0.2041	2,456,571.502781
3.918988	0.204	2,364,315.436646
3.922390	0.2041	2,409,115.935538
3.925792	0.2041	2,451,165.887927
3.929192	0.204	2,503,487.516812
3.932593	0.2041	2,431,054.154484
3.935995	0.2041	2,370,385.677205
3.939395	0.204	2,345,357.564152
3.942797	0.2041	2,352,127.211987
3.946198	0.2041	2,523,119.284222
3.949598	0.204	2,494,345.260284
3.953000	0.2041	2,405,489.632656
3.956402	0.2041	2,466,707.601289
3.959802	0.204	2,503,725.044202
3.963203	0.2041	2,543,592.181939
3.966605	0.2041	2,520,367.376714
3.970005	0.204	2,453,875.235399
3.973407	0.2041	2,532,318.970484
3.976808	0.2041	2,545,833.763409
3.980208	0.204	2,455,427.869137
3.983610	0.2041	2,466,869.575218
3.987012	0.2041	2,417,732.876178
3.990412	0.204	2,338,195.365609
3.993813	0.2041	2,399,142.447759
3.997215	0.2041	2,482,900.120947
4.000615	0.204	2,452,263.400377
4.004017	0.2041	2,375,296.623986
4.007418	0.2041	2,356,522.626306
4.010818	0.204	2,402,276.059459
4.014220	0.2041	2,453,752.892234
4.017622	0.2041	2,497,375.946256
4.021022	0.204	2,527,650.135430
4.024423	0.2041	2,549,846.388780
4.027825	0.2041	2,529,080.132737
4.031225	0.204	2,456,376.144153
4.034627	0.2041	2,377,149.100062
4.038028	0.2041	2,372,068.744682
4.041428	0.204	2,434,403.606430
4.044830	0.2041	2,445,910.686911
4.048232	0.2041	2,435,863.205249
4.051632	0.204	2,476,207.354367
4.055033	0.2041	2,439,299.489183
4.058435	0.2041	2,403,112.231896
4.061835	0.204	2,454,483.080521
4.065237	0.2041	2,562,638.781726
4.068638	0.2041	2,533,042.631446
4.072038	0.204	2,461,028.612995
4.075440	0.2041	2,429,102.488229
4.078842	0.2041	2,374,955.381627
4.082242	0.204	2,425,196.922145
4.085643	0.2041	2,380,327.155721
4.089045	0.2041	2,421,031.005067
4.092445	0.204	2,517,006.709914
4.095847	0.2041	2,377,808.476173
4.099248	0.2041	2,334,076.623536
4.102650	0.2041	2,382,325.699447
4.106050	0.204	2,350,695.067440
4.109452	0.2041	2,314,862.906571
4.112853	0.2041	2,235,171.461510
4.116253	0.204	2,099,197.890584
4.119655	0.2041	2,108,285.911796
4.123057	0.2041	2,130,870.986723
4.126457	0.204	2,037,661.804611
4.129858	0.2041	2,080,098.194054
4.133260	0.2041	2,112,880.323276
4.136660	0.204	2,065,814.627131
