File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_17_1125
Injection Number	44
Position	154
Comment	Betaforce 9075L -- 28 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/18/2026
Injection Time	3:37:04 AM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.001017
Time Max. (min)	60.000327
Data Points	16760
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,707,992.916662
Signal Max.	11,291,955,169.814200
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406698

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
4.296842	0.2041	3,517,323.114570
4.300243	0.2041	3,738,282.069591
4.303643	0.204	3,928,619.729425
4.307045	0.2041	4,162,046.395672
4.310447	0.2041	4,385,807.189237
4.313847	0.204	4,444,544.797255
4.317248	0.2041	4,422,996.673290
4.320650	0.2041	4,529,808.661171
4.324050	0.204	4,391,246.852612
4.327452	0.2041	4,421,203.643641
4.330853	0.2041	4,484,264.801435
4.334253	0.204	4,260,077.515593
4.337655	0.2041	4,320,944.603126
4.341057	0.2041	4,376,934.941939
4.344457	0.204	4,228,419.600111
4.347858	0.2041	3,973,065.999300
4.351260	0.2041	3,790,640.732437
4.354660	0.204	3,776,161.626961
4.358062	0.2041	3,656,753.838659
4.361463	0.2041	3,514,846.932849
4.364863	0.204	3,349,653.506820
4.368265	0.2041	3,225,661.546424
4.371667	0.2041	3,235,445.156111
4.375067	0.204	3,139,683.716796
4.378468	0.2041	3,086,313.381236
4.381870	0.2041	3,075,788.985722
4.385270	0.204	3,039,740.251605
4.388672	0.2041	3,065,658.475594
4.392073	0.2041	3,018,249.706934
4.395473	0.204	3,135,599.902296
4.398875	0.2041	3,093,745.314377
4.402277	0.2041	2,995,641.659726
4.405677	0.204	3,219,577.910414
4.409078	0.2041	3,279,519.581459
4.412480	0.2041	3,215,700.526038
4.415880	0.204	3,227,801.563253
4.419282	0.2041	3,282,806.421339
4.422683	0.2041	3,275,588.951370
4.426083	0.204	3,177,278.556058
4.429485	0.2041	3,229,560.510042
4.432887	0.2041	3,285,152.706621
4.436287	0.204	3,246,405.323601
4.439688	0.2041	3,359,138.774564
4.443090	0.2041	3,384,687.595341
4.446490	0.204	3,306,705.638031
4.449892	0.2041	3,310,044.473334
4.453293	0.2041	3,289,407.741434
4.456693	0.204	3,315,330.095282
4.460095	0.2041	3,373,088.239329
4.463497	0.2041	3,400,375.448002
4.466897	0.204	3,387,101.494199
4.470298	0.2041	3,425,694.777854
4.473700	0.2041	3,506,553.364090
4.477100	0.204	3,635,667.376710
4.480502	0.2041	3,579,495.244621
4.483903	0.2041	3,531,233.704207
4.487303	0.204	3,660,750.256641
4.490705	0.2041	3,693,923.229488
4.494107	0.2041	3,675,163.887324
4.497507	0.204	3,691,284.696982
4.500908	0.2041	3,715,343.960546
4.504310	0.2041	3,785,219.665717
4.507710	0.204	3,966,057.921067
4.511112	0.2041	3,978,222.281790
4.514513	0.2041	3,963,254.233785
4.517913	0.204	4,065,684.216257
4.521315	0.2041	4,207,396.849797
4.524717	0.2041	4,306,923.144358
4.528117	0.204	4,218,724.521461
4.531518	0.2041	4,252,761.424351
4.534920	0.2041	4,352,052.747832
4.538320	0.204	4,381,137.370238
4.541722	0.2041	4,413,057.122418
4.545123	0.2041	4,333,023.036448
4.548523	0.204	4,374,601.251412
4.551925	0.2041	4,615,165.043911
4.555327	0.2041	4,712,806.385454
4.558727	0.204	4,625,753.452944
4.562128	0.2041	4,561,952.416654
4.565530	0.2041	4,533,711.341983
4.568930	0.204	4,476,671.174988
4.572332	0.2041	4,323,982.609602
4.575733	0.2041	4,226,143.532662
4.579133	0.204	4,294,415.742700
4.582535	0.2041	4,255,691.228137
4.585937	0.2041	4,150,063.095975
4.589337	0.204	4,173,048.140695
4.592738	0.2041	4,283,046.888890
4.596140	0.2041	4,229,065.887571
4.599540	0.204	4,104,912.715385
4.602942	0.2041	4,117,411.445128
4.606343	0.2041	4,169,675.259746
4.609743	0.204	4,111,751.079358
4.613145	0.2041	4,093,831.711082
4.616547	0.2041	4,172,187.452399
4.619947	0.204	4,184,333.145678
4.623348	0.2041	4,304,970.002939
4.626750	0.2041	4,530,546.012271
4.630152	0.2041	4,545,071.371228
4.633552	0.204	4,545,741.331446
4.636953	0.2041	4,793,686.376181
4.640355	0.2041	4,918,937.046720
4.643755	0.204	5,006,575.949533
4.647157	0.2041	5,061,527.839756
4.650558	0.2041	4,916,530.823045
4.653958	0.204	5,148,218.079546
4.657360	0.2041	5,308,485.842192
4.660762	0.2041	5,215,604.725154
4.664162	0.204	5,358,145.000514
4.667563	0.2041	5,482,703.579546
4.670965	0.2041	5,613,198.935660
4.674365	0.204	5,561,217.314519
4.677767	0.2041	5,397,766.994519
4.681168	0.2041	5,370,386.774639
4.684568	0.204	5,236,496.169507
4.687970	0.2041	5,071,913.443336
4.691372	0.2041	5,001,907.044203
4.694772	0.204	4,657,895.105102
4.698173	0.2041	4,315,953.490802
4.701575	0.2041	4,339,119.847240
4.704975	0.204	4,230,019.796716
4.708377	0.2041	4,174,054.834010
4.711778	0.2041	4,183,215.051403
4.715178	0.204	4,120,720.168070
4.718580	0.2041	4,218,559.270413
4.721982	0.2041	4,211,929.709176
4.725382	0.204	4,263,701.231140
4.728783	0.2041	4,505,751.698133
4.732185	0.2041	4,593,915.506047
4.735585	0.204	4,691,997.690561
4.738987	0.2041	4,886,441.003458
4.742388	0.2041	4,952,891.552330
4.745788	0.204	4,993,695.788220
4.749190	0.2041	5,056,751.683822
4.752592	0.2041	4,946,035.390536
4.755992	0.204	4,882,198.914669
4.759393	0.2041	5,053,777.858472
4.762795	0.2041	5,137,541.729462
4.766195	0.204	5,256,636.157368
4.769597	0.2041	5,209,411.053292
4.772998	0.2041	5,160,690.077925
4.776398	0.204	5,196,035.553130
4.779800	0.2041	5,048,540.036465
4.783202	0.2041	4,907,862.574434
4.786602	0.204	4,790,816.306541
4.790003	0.2041	4,765,504.435103
4.793405	0.2041	4,571,175.918085
4.796805	0.204	4,444,607.258199
4.800207	0.2041	4,441,927.615957
4.803608	0.2041	4,364,923.440104
4.807008	0.204	4,126,425.650389
4.810410	0.2041	3,930,014.526994
4.813812	0.2041	4,147,303.002928
4.817212	0.204	4,225,359.497250
4.820613	0.2041	4,174,241.184960
4.824015	0.2041	4,202,535.762008
4.827415	0.204	4,231,298.901275
4.830817	0.2041	4,251,392.801701
4.834218	0.2041	4,167,579.860384
4.837618	0.204	4,104,605.788943
4.841020	0.2041	4,230,742.206709
4.844422	0.2041	4,312,554.490511
4.847822	0.204	4,135,630.845695
4.851223	0.2041	4,086,253.143685
4.854625	0.2041	4,116,459.732107
4.858025	0.204	4,066,418.359847
4.861427	0.2041	4,149,476.433837
4.864828	0.2041	4,200,210.973633
4.868228	0.204	4,104,183.387822
4.871630	0.2041	4,100,976.702152
4.875032	0.2041	4,258,335.855433
4.878432	0.204	4,281,745.026919
4.881833	0.2041	4,112,821.040795
