File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_17_1127
Injection Number	41
Position	151
Comment	Terroson EP 6055 -- 28 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/18/2026
Injection Time	12:19:03 AM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000685
Time Max. (min)	59.999997
Data Points	16760
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,995,061.855691
Signal Max.	4,573,773,407.227210
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406699

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.857767	0.2041	2,634,675.595326
3.861168	0.2041	2,701,038.270082
3.864568	0.204	2,638,032.465195
3.867970	0.2041	2,575,764.659541
3.871372	0.2041	2,618,917.867895
3.874772	0.204	2,619,031.436011
3.878173	0.2041	2,644,099.803343
3.881575	0.2041	2,647,776.753085
3.884975	0.204	2,608,296.274097
3.888377	0.2041	2,662,900.847924
3.891778	0.2041	2,639,405.556949
3.895178	0.204	2,488,382.630045
3.898580	0.2041	2,506,198.879632
3.901982	0.2041	2,578,031.357568
3.905382	0.204	2,569,454.551152
3.908783	0.2041	2,601,460.853173
3.912185	0.2041	2,555,205.807663
3.915585	0.204	2,495,761.736137
3.918987	0.2041	2,534,871.081249
3.922388	0.2041	2,489,784.754961
3.925788	0.204	2,570,870.003765
3.929190	0.2041	2,703,159.361206
3.932592	0.2041	2,664,177.979627
3.935992	0.204	2,628,751.066493
3.939393	0.2041	2,609,310.222587
3.942795	0.2041	2,656,041.961905
3.946195	0.204	2,564,339.045653
3.949597	0.2041	2,483,776.681974
3.952998	0.2041	2,587,285.433800
3.956398	0.204	2,515,514.706435
3.959800	0.2041	2,438,355.260998
3.963202	0.2041	2,539,570.822548
3.966602	0.204	2,661,400.844578
3.970003	0.2041	2,636,306.955585
3.973405	0.2041	2,500,405.262032
3.976805	0.204	2,614,956.527493
3.980207	0.2041	2,739,184.436145
3.983608	0.2041	2,652,162.891762
3.987008	0.204	2,624,864.046245
3.990410	0.2041	2,640,037.615602
3.993812	0.2041	2,667,978.468134
3.997212	0.204	2,568,868.906478
4.000613	0.2041	2,562,114.442056
4.004015	0.2041	2,606,707.909180
4.007417	0.2041	2,500,144.365641
4.010817	0.204	2,564,215.922754
4.014218	0.2041	2,594,150.754342
4.017620	0.2041	2,586,679.634857
4.021020	0.204	2,709,152.681814
4.024422	0.2041	2,623,991.606311
4.027823	0.2041	2,531,739.310922
4.031223	0.204	2,561,550.668406
4.034625	0.2041	2,577,827.220097
4.038027	0.2041	2,603,224.449301
4.041427	0.204	2,547,267.376349
4.044828	0.2041	2,473,055.134409
4.048230	0.2041	2,545,709.621521
4.051630	0.204	2,589,817.506781
4.055032	0.2041	2,503,616.191535
4.058433	0.2041	2,570,860.302118
4.061833	0.204	2,595,998.368701
4.065235	0.2041	2,465,485.277134
4.068637	0.2041	2,509,655.550384
4.072037	0.204	2,559,956.716580
4.075438	0.2041	2,529,527.112526
4.078840	0.2041	2,554,225.980878
4.082240	0.204	2,571,674.371304
4.085642	0.2041	2,562,752.371733
4.089043	0.2041	2,438,692.144020
4.092443	0.204	2,373,997.203045
4.095845	0.2041	2,426,778.731118
4.099247	0.2041	2,439,893.573668
4.102647	0.204	2,370,571.645166
4.106048	0.2041	2,347,022.602126
4.109450	0.2041	2,328,241.769726
4.112850	0.204	2,253,994.089021
4.116252	0.2041	2,274,788.475338
4.119653	0.2041	2,163,025.863218
4.123053	0.204	2,050,421.836935
4.126455	0.2041	2,128,874.490775
4.129857	0.2041	2,180,160.583802
4.133257	0.204	2,123,599.642717
4.136658	0.2041	2,061,350.844607
4.140060	0.2041	2,127,065.650113
4.143460	0.204	2,201,484.332048
4.146862	0.2041	2,188,006.416978
4.150263	0.2041	2,140,039.650455
4.153663	0.204	2,055,753.912102
4.157065	0.2041	2,043,504.609090
4.160467	0.2041	2,136,987.643373
4.163867	0.204	2,094,908.857548
4.167268	0.2041	2,050,934.003959
4.170670	0.2041	2,091,085.103204
4.174070	0.204	2,082,342.703834
4.177472	0.2041	2,097,110.508058
4.180873	0.2041	2,083,219.069977
4.184273	0.204	2,019,409.561915
4.187675	0.2041	2,041,395.917012
4.191077	0.2041	2,145,624.681225
4.194477	0.204	2,115,331.411713
4.197878	0.2041	2,135,162.617561
4.201280	0.2041	2,199,803.561761
4.204680	0.204	2,106,260.396876
4.208082	0.2041	2,113,133.074025
4.211483	0.2041	2,083,318.390942
4.214883	0.204	2,041,935.452846
4.218285	0.2041	2,069,329.111058
4.221687	0.2041	1,995,061.855691
4.225087	0.204	2,030,345.949962
4.228488	0.2041	2,081,152.926049
4.231890	0.2041	2,061,099.734492
4.235290	0.204	2,116,084.297554
4.238692	0.2041	2,082,927.247422
4.242093	0.2041	1,998,737.995899
4.245493	0.204	2,072,827.521299
4.248895	0.2041	2,124,120.730960
4.252297	0.2041	2,121,898.599307
4.255697	0.204	2,233,800.793951
4.259098	0.2041	2,260,780.971309
4.262500	0.2041	2,227,481.857483
4.265900	0.204	2,336,702.504290
4.269302	0.2041	2,454,089.615122
4.272703	0.2041	2,618,394.902110
4.276103	0.204	2,765,316.814291
4.279505	0.2041	2,882,072.907922
4.282907	0.2041	3,127,509.363645
4.286307	0.204	3,415,972.041279
4.289708	0.2041	3,656,139.484181
4.293110	0.2041	3,874,347.978970
4.296510	0.204	4,111,488.196908
4.299912	0.2041	4,275,267.809871
4.303313	0.2041	4,392,881.812949
4.306713	0.204	4,558,686.280265
4.310115	0.2041	4,661,219.385443
4.313517	0.2041	4,694,072.729275
4.316917	0.204	4,756,120.618226
4.320318	0.2041	4,789,479.766701
4.323720	0.2041	4,654,933.268191
4.327120	0.204	4,512,614.055720
4.330522	0.2041	4,559,610.399966
4.333923	0.2041	4,577,270.903680
4.337323	0.204	4,576,685.946680
4.340725	0.2041	4,446,864.882904
4.344127	0.2041	4,274,675.048336
4.347527	0.204	4,138,325.719582
4.350928	0.2041	3,913,991.389029
4.354330	0.2041	3,884,469.355827
4.357730	0.204	3,774,321.418962
4.361132	0.2041	3,597,268.421434
4.364533	0.2041	3,516,551.036974
4.367935	0.2041	3,352,429.349643
4.371335	0.204	3,356,439.349840
4.374737	0.2041	3,395,581.402420
4.378138	0.2041	3,363,512.517143
4.381538	0.204	3,398,441.600218
4.384940	0.2041	3,478,176.729544
4.388342	0.2041	3,477,064.591311
4.391742	0.204	3,512,657.754531
4.395143	0.2041	3,644,234.042227
4.398545	0.2041	3,518,030.187926
4.401945	0.204	3,417,544.303897
4.405347	0.2041	3,560,963.765462
4.408748	0.2041	3,650,027.335308
4.412148	0.204	3,616,668.008777
4.415550	0.2041	3,554,586.950104
4.418952	0.2041	3,555,282.810192
4.422352	0.204	3,573,678.042821
4.425753	0.2041	3,587,432.078649
4.429155	0.2041	3,646,299.399762
4.432555	0.204	3,627,637.290864
4.435957	0.2041	3,512,243.897599
4.439358	0.2041	3,507,080.192697
